VAR1,SNP_Names,Position__cM_,Mean_LOD,Mean_P_Value,Variance_LOD,Variance_P_Value,Joint_LOD,Joint_P_Value,A_Mean_Est,A_Mean_Lower_Bound,A_Mean_Upper_Bound,A_Standard_Deviation_Est,A_Standard_Deviation_Lower_Boun,A_Standard_Deviation_Upper_Boun,B_Mean_Est,B_Mean_Lower_Bound,B_Mean_Upper_Bound,B_Standard_Deviation_Est,B_Standard_Deviation_Lower_Boun,B_Standard_Deviation_Upper_Boun,Joint_P_Value_S3,Joint_P_Value_T3,,jQTL_ID,Joint_P_Value_S5,Joint_P_Value_T5,Joint_P_Value_S7,Joint_P_Value_T7,Joint_P_Value_S9,Joint_P_Value_T9
11,IDP1464,21.17,4.319802442,0.115336513,5.008975016,0.081717467,6.408153927,0.170670206,60.49376114,59.96515211,61.02237017,11.51230613,10.54978987,12.56263813,61.24957265,60.68336824,61.81577706,12.55502004,11.5261655,13.67571272,0.307507749,0.301662704,FALSE,,0.303848438,0.431199908,0.310304828,0.53670877,0.299340197,0.176378304
12,fus6,22.62,3.674772746,0.159233059,4.47158277,0.106907491,5.497736398,0.239928524,60,59.48192125,60.51807875,2.122726925,1.611754172,2.79569284,62.25949367,61.64579618,62.87319117,2.154838905,1.580328861,2.938205345,0.296720159,0.301662704,FALSE,,0.303848438,0.431199908,0.310304828,0.53670877,0.312254041,0.455083592
13,AY109692,23.62,4.09159349,0.129277148,4.956880387,0.083873951,6.158150918,0.187644681,62.6462963,62.07741477,63.21517782,11.50523484,10.50524393,12.60041457,59.30275229,58.75310011,59.85240448,11.18547429,10.2175464,12.24509586,0.296720159,0.301662704,FALSE,,0.303848438,0.431199908,0.313865324,0.53670877,0.312254041,0.622646398
14,mmp102,24.42,4.407441852,0.110391634,5.496361569,0.064044266,6.900925427,0.141217413,60.03558052,59.48627321,60.58488784,10.1596185,9.240485314,11.17017609,62.39259259,61.8229171,62.96226808,10.55658996,9.606616751,11.60050353,0.296720159,0.301662704,FALSE,,0.301130587,0.431199908,0.322901062,0.53670877,0.312254041,0.622646398
15,AY110314,29.42,4.617710696,0.099374936,5.421636471,0.066482386,7.186970376,0.126331465,60.76419214,60.20823312,61.32015116,9.925575103,8.973877455,10.97820219,61.33014354,60.7866073,61.87367978,11.24317475,10.31514345,12.25469904,0.296821765,0.301662704,FALSE,,0.303848438,0.431199908,0.310304828,0.53670877,0.319120512,0.622646398
16,umc94a,38.62,7.075799575,0.029074325,7.829787843,0.019942664,9.99187339,0.040564796,60.97717842,60.38328917,61.57106768,7.416918932,6.599937921,8.335030891,60.53311258,59.9913461,61.07487906,7.5392502,6.792843657,8.36767287,0.296720159,0.301662704,FALSE,,0.306455484,0.431199908,0.300234841,0.53670877,0.319120512,0.622646398
17,gpm331,38.71,6.392766256,0.040909903,6.934873256,0.031196898,8.868201359,0.064479584,61.56762749,60.99940302,62.13585197,9.873507792,8.912647197,10.93795749,61.17118998,60.56401567,61.77836429,10.78916134,9.768819702,11.91607644,0.296720159,0.301662704,FALSE,,0.306455484,0.431199908,0.310304828,0.53670877,0.312254041,0.622646398
18,lim179,47.02,4.081631826,0.129922662,4.543901095,0.103110861,5.748808856,0.218709159,61.52737226,60.98805102,62.0666935,10.33210041,9.417023392,11.33609788,59.83105802,59.28095145,60.3811646,10.85233857,9.921471621,11.87054269,0.296821765,0.301662704,FALSE,,0.30183454,0.431199908,0.310304828,0.53670877,0.301717272,0.470577953
19,IDP755,52.47,4.612830967,0.099617694,5.279738033,0.071370617,6.680923707,0.153741741,60.4580292,59.90452171,61.01153669,11.22584077,10.25480146,12.28882893,61.19624573,60.64423824,61.74825323,11.55723707,10.5890674,12.61392753,0.296821765,0.301662704,FALSE,,0.307503465,0.431199908,0.298942898,0.53670877,0.301717272,0.470577953
20,AY107629,54.63,0.703458284,0.703470637,1.806588356,0.405232551,2.19018503,0.700826587,60.66048238,60.10788528,61.21307947,11.71177978,10.71120344,12.80582395,60.65474061,60.10015188,61.20932934,11.9608422,10.95663698,13.05708554,0.303997541,0.301662704,FALSE,,0.301991663,0.431199908,0.298942898,0.37721683,0.299340197,0.470577953
21,mmp49,56.12,4.130675779,0.126775447,4.633606635,0.098588238,5.83730626,0.211632262,60.78782288,60.22880666,61.3468391,10.93769685,9.975167993,11.99310251,61.60229446,61.01189528,62.19269363,11.31935785,10.30613741,12.43219036,0.331621572,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.37721683,0.299340197,0.470577953
22,cdo1081a,57.82,4.310056618,0.11589991,4.658343505,0.097376365,6.027963973,0.197069618,60.30560579,59.75560573,60.85560585,12.80346776,11.75595513,13.94431884,61.43169399,60.8607931,62.00259488,13.24026063,12.15323911,14.42450856,0.325139541,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.37721683,0.299340197,0.470577953
23,asg31,65.22,4.120879946,0.127397906,5.509991701,0.063609284,6.681363395,0.15371573,60.64310345,60.12730278,61.15890412,10.69573726,9.792199136,11.68264595,61.29362416,60.73482059,61.85242773,11.68136678,10.70732967,12.74401125,0.296821765,0.301662704,FALSE,,0.301130587,0.431199908,0.298942898,0.37721683,0.299340197,0.470577953
24,npi415,66.02,0.9180794,0.631890159,1.676218256,0.432527605,2.174996554,0.703609387,60.33452594,59.8153641,60.85368778,11.54941171,10.5906295,12.59499361,60.61350844,60.0296003,61.19741659,12.65567701,11.58084429,13.83026631,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.53670877,0.299340197,0.470577953
25,ufg31,71.62,4.386819553,0.111535787,7.262232812,0.026486598,8.793844786,0.066464087,62.18647541,61.63910885,62.73384197,11.35248296,10.34582812,12.45708588,60.37820513,59.82387559,60.93253466,12.95667913,11.93527138,14.06549785,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.53670877,0.299340197,0.192443625
26,gpm330,71.91,4.398659972,0.110877423,7.243000806,0.026742522,8.791855369,0.06651797,61.74793388,61.20253895,62.29332882,9.678284118,8.761836379,10.69058807,61.78040541,61.23571399,62.32509682,10.59878954,9.687063578,11.59632523,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.53670877,0.299340197,0.188439645
27,ufg33,72.02,4.775206634,0.091849555,7.957766808,0.018706515,9.584281857,0.048043956,62.04508197,61.50066213,62.58950181,9.844703808,8.921905545,10.86294767,60.54931973,59.98400545,61.114634,11.10407321,10.15175981,12.14572096,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.37908325,0.299340197,0.188439645
28,ufg32,72.82,4.284801202,0.11737274,6.733366336,0.034503891,8.185316655,0.085020883,62.25219298,61.68225067,62.82213529,8.1683584,7.307260978,9.130928696,60.92982456,60.39764389,61.46200524,8.815419069,8.016489316,9.693970802,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.130476347,0.299340197,0.188439645
29,ufg34,74.42,4.406238153,0.110458093,6.823427479,0.032984625,8.350291844,0.07955725,61.06406685,60.42828795,61.69984576,8.714817611,7.719393765,9.838602394,60.51570248,59.95100011,61.08040485,9.864616088,8.98470148,10.83070492,0.296691281,0.301662704,FALSE,,0.298514636,0.276829864,0.298942898,0.130476347,0.299340197,0.188439645
30,AY108650,77.57,1.016852011,0.6014415,4.027594736,0.133480835,5.000194662,0.287277522,63.15350877,62.6243361,63.68268144,8.672258639,7.807157958,9.633219964,61.40618557,60.78793797,62.02443317,10.23955256,9.247561474,11.33795508,0.296691281,0.301662704,FALSE,,0.298514636,0.079865804,0.298942898,0.130476347,0.299340197,0.188439645
31,gpm495,80.45,2.761762653,0.251356928,7.154827918,0.027947879,7.803243005,0.099057436,61.99756098,61.43183204,62.56328992,5.893722888,5.145729907,6.750445536,61.84485666,61.2867157,62.40299762,6.674851523,5.962528539,7.47227331,0.296691281,0.301662704,FALSE,,0.298514636,0.079865804,0.298942898,0.130476347,0.299340197,0.061042981
32,gpm83b,80.75,3.772465788,0.151641986,7.780271285,0.020442573,8.778704503,0.066875202,61.69975787,61.09667814,62.3028376,9.617182883,8.624798471,10.72375278,61.34380776,60.77968462,61.90793091,10.22858975,9.300137234,11.24973165,0.296691281,0.158059474,FALSE,,0.298514636,0.079865804,0.298942898,0.130476347,0.299340197,0.017842356
33,gpm767,80.94,4.120412683,0.127427674,7.868195445,0.019563343,9.090191933,0.058884226,61.80043384,61.24201581,62.35885187,9.642967706,8.707340794,10.67913022,61.66843034,61.10988796,62.22697271,10.60023016,9.668243457,11.62205729,0.296691281,0.158059474,FALSE,,0.298514636,0.263511945,0.298942898,0.036846671,0.299340197,0.017842356
34,bnlg1014,81.12,4.063745223,0.131089811,8.722840811,0.01276025,9.911581508,0.041943711,61.92259414,61.40595076,62.43923753,8.755866136,7.905395201,9.697831651,60.45248869,59.90006652,61.00491086,10.76308691,9.868649637,11.73859081,0.296691281,0.158059474,FALSE,,0.298514636,0.263511945,0.298942898,0.009206299,0.299340197,0.004106706
35,umc1363a,82.02,4.13769536,0.126331272,8.950333043,0.011388326,10.225385,0.036797508,61.04457364,60.53776412,61.55138316,5.793897327,5.126349953,6.548371951,59.99493243,59.40489204,60.58497283,6.790911113,6.057523864,7.613089899,0.296691281,0.158059474,FALSE,,0.298514636,0.066928817,0.298942898,0.030680583,0.299340197,0.000613225
36,gst12,83.52,0.578945118,0.748658337,5.829397106,0.054220373,6.367721723,0.173318144,61.49099099,60.95677109,62.02521089,10.28607552,9.320715076,11.35141979,60.50073206,59.95920725,61.04225688,12.82327637,11.84377674,13.88378221,0.296691281,0.158059474,FALSE,,0.298514636,0.014851355,0.298942898,0.006558609,0.299340197,0.000122384
37,umc1269,84.62,0.560496493,0.755596144,5.864319318,0.053281843,6.388337247,0.171963422,61.77225673,61.26365278,62.28086068,9.793075997,8.894497721,10.78243432,60.59726444,60.03986771,61.15466116,12.36010272,11.38181093,13.42248085,0.295239371,0.029516918,TRUE,,0.298514636,0.014851355,0.298942898,0.000887099,0.299340197,9.99119E-05
38,umc2012,85.72,0.20990325,0.900368077,3.193464315,0.202557363,3.281050092,0.511940297,61.29010989,60.72720341,61.85301637,8.577528664,7.696359862,9.559583921,60.88526912,60.37141038,61.39912787,9.585861595,8.786951695,10.45740841,0.292281897,0.025246701,TRUE,,0.298514636,0.002509916,0.298942898,0.000166312,0.299340197,1.80834E-05
39,umc1977,87.52,4.196769808,0.122654367,7.020471488,0.029889867,8.286228896,0.081638393,60.12765957,59.57978841,60.67553074,11.09049993,10.08691738,12.19393241,61.38579387,60.874519,61.89706874,12.7421724,11.80091506,13.75850573,0.296691281,0.125192447,FALSE,,0.298514636,0.000245413,0.298942898,2.75428E-05,0.299340197,3.04E-06
40,IDP553,88.91,4.045289569,0.132305084,9.729544793,0.007713584,10.89142624,0.027811718,60.94772727,60.40307305,61.4923815,7.580956466,6.760043367,8.501558024,60.77089337,60.23299047,61.30879628,9.06856755,8.277629611,9.935080606,0.290375653,0.019220821,TRUE,q1,0.298514636,0.000209133,0.298942898,4.18E-06,0.299340197,3.04E-06
41,IDP4043,89.33,4.052808321,0.131808633,9.656532665,0.008000379,10.82532778,0.02859884,60.97787611,60.42937731,61.5263749,6.744976932,5.976216618,7.612627977,60.81556196,60.28349992,61.347624,7.782006318,7.057954143,8.58033661,0.290375653,0.001694613,TRUE,q1,0.298514636,0.000192202,0.298942898,6.00E-07,0.299340197,5.85E-07
42,php20603,90.02,0.249123855,0.882883585,6.695158636,0.035169385,6.852955646,0.143865905,60.76566125,60.22942882,61.30189368,10.474244,9.488893344,11.56191596,60.44141252,59.8778484,61.00497664,13.15794144,12.11992138,14.28486353,0.290375653,0.000242296,TRUE,q1,0.298514636,2.89694E-05,0.298942898,3.57E-06,0.299340197,1.02E-07
43,sgb101,90.74,2.784979799,0.248455904,10.86584088,0.004370314,11.65319881,0.020125397,60.87461774,60.35041273,61.39882274,10.85971624,9.973948969,11.8241468,60.4989648,59.93396456,61.06396505,10.12137976,9.167311694,11.17474038,0.290375653,0.000033476,TRUE,q1,0.298514636,3.88E-06,0.298942898,3.95E-06,0.299340197,1.02E-07
44,IDP1437,91.9,4.142521897,0.126026768,11.89136668,0.002617113,13.11610087,0.010722219,61.13962264,60.65088597,61.62835931,8.821084264,8.009227621,9.715234885,60.65584416,60.06905457,61.24263375,11.12631988,10.17319138,12.16874719,0.290375653,3.63342E-05,TRUE,q1,0.298514636,3.88E-06,0.298942898,6.84E-07,0.299340197,6.02E-07
45,IDP847,93.03,4.035532252,0.132952132,9.500001111,0.00865169,10.6284664,0.031072662,60.38908451,59.88041665,60.89775237,11.68754068,10.73368079,12.72616633,61.3615917,60.77726083,61.94592257,13.51515642,12.42132315,14.70531366,0.290375653,3.78835E-05,TRUE,q1,0.298514636,6.00E-07,0.298942898,6.84E-07,0.299340197,3.44E-06
46,gpm125,96.14,4.001982905,0.135201171,9.47439493,0.008763171,10.58773492,0.031609685,61.83891213,61.31859668,62.35922759,7.585294335,6.79700455,8.465006861,61.96899225,61.35460615,62.58337834,8.994770542,8.093260126,9.996700446,0.290375653,3.78835E-05,TRUE,q1,0.298514636,7.83E-07,0.298942898,6.84E-07,0.299340197,3.44E-06
47,lls1,97.12,4.015937521,0.134261114,9.416171789,0.00902203,10.55055434,0.032107696,61.68283582,61.19068234,62.1749893,9.808586393,8.946269474,10.75402069,59.77558348,59.18285083,60.36831613,11.8919725,10.86550854,13.01540645,0.290375653,5.99771E-05,TRUE,q1,0.298514636,6.62E-06,0.298942898,6.84E-07,0.299340197,3.44E-06
48,php20689,99.42,4.04205772,0.132519051,9.439405823,0.008917828,10.58412137,0.031657758,60.59819413,60.02594045,61.17044781,11.89556041,10.81252083,13.08708299,60.53682171,59.92349573,61.15014769,13.75057425,12.58656582,15.02223044,0.290375653,0.000134587,TRUE,q1,0.298514636,6.62E-06,0.298942898,5.05E-06,0.299340197,3.44E-06
49,umc1685,101.32,0.112822831,0.945150207,5.507542687,0.063687221,5.57206633,0.233467044,61.2440367,60.75146386,61.73660954,8.90485326,8.092534318,9.798711808,60.83468396,60.26353525,61.40583266,10.74801989,9.823930178,11.75903427,0.290375653,0.000973334,TRUE,q1,0.298514636,6.18224E-05,0.298942898,3.56649E-05,0.299340197,3.44E-06
50,gpm557b,106.62,4.679854759,0.096334634,7.891673971,0.019335027,9.779536488,0.044309703,62.35616438,61.84643532,62.86589345,9.496018143,8.626447256,10.4532443,61.25436893,60.63530822,61.87342965,11.39849453,10.35858002,12.54280773,0.290375653,0.006344565,TRUE,q1,0.298514636,0.00068706,0.298942898,3.56649E-05,0.299340197,2.15706E-05
51,umc1160,106.63,4.679970545,0.096329057,7.891474954,0.019336951,9.77957273,0.044309037,61.45438899,60.95306487,61.9557131,10.31253919,9.438343312,11.26770462,60.19039451,59.6086044,60.77218462,11.87465168,10.86968805,12.97252983,0.292281897,0.034426073,TRUE,q1,0.298514636,0.003852074,0.298942898,0.000264659,0.299340197,0.000126127
52,gpm584,107.6,3.139931396,0.208052319,4.267918427,0.118367722,6.540235065,0.162272837,62.8296837,62.2608326,63.3985348,7.203326182,6.375273888,8.138930029,61.08319185,60.52386773,61.64251598,8.217336336,7.420436409,9.099817415,0.296691281,0.165957543,FALSE,,0.298514636,0.01820911,0.298942898,0.002136001,0.299340197,0.000126127
53,gpm346b,108.13,4.845341633,0.088684441,6.864120854,0.032320279,8.884412265,0.06405446,62.62693157,62.09251053,63.16135261,8.192127879,7.349139769,9.131811518,61.13964687,60.5965753,61.68271844,9.53473716,8.691493169,10.45979223,0.292281897,0.165957543,FALSE,,0.298514636,0.075322428,0.298942898,0.009486593,0.299340197,0.000769922
54,gpm33e,108.55,4.85569703,0.088226446,6.883283013,0.032012094,8.916931641,0.063209665,62.82033097,62.28475692,63.35590502,8.112603591,7.257339111,9.068659466,60.65131579,60.09922135,61.20341023,9.759857205,8.893799048,10.71025016,0.292281897,0.301662704,FALSE,,0.298514636,0.275202384,0.298942898,0.036516241,0.299340197,0.004872797
55,umc2224,109.23,4.8859147,0.086903467,6.488983433,0.038988377,8.54161764,0.073635724,61.64096916,61.05975199,62.22218634,10.49955437,9.496424782,11.60864689,60.80162602,60.25953614,61.3437159,11.33672198,10.39962046,12.35826497,0.296691281,0.301662704,FALSE,,0.298514636,0.275202384,0.298942898,0.12483157,0.299340197,0.018259962
56,gpm556,110.49,4.940150809,0.084578481,6.495347275,0.038864516,8.612795406,0.071541005,63.06157113,62.53224163,63.59090062,7.340833373,6.557704988,8.217483816,60.57844991,59.98656213,61.17033768,8.432871098,7.581336431,9.380050023,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.37721683,0.299340197,0.060417512
57,npi579b,110.53,4.987118483,0.082615395,6.528655711,0.038222618,8.672583889,0.069825157,61.80697674,61.22783274,62.38612075,11.5410357,10.46387365,12.72908193,60.328125,59.78293865,60.87331135,13.22571596,12.20506037,14.33172448,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.37721683,0.299340197,0.181208368
58,IDP3917,115.28,1.799624931,0.406645913,5.09467929,0.078289668,6.247249597,0.181428759,61.73893805,61.16103301,62.3168431,11.17540756,10.13488687,12.32275561,60.31988473,59.80228635,60.8374831,12.35423569,11.41726131,13.36810424,0.296691281,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.53670877,0.299340197,0.470577953
59,gpm199c,115.57,0.949000496,0.622195922,5.490453467,0.064233735,5.864703841,0.209482679,62.30612245,61.73383268,62.87841222,10.16355612,9.144040318,11.29674294,61.39826087,60.83169579,61.96482595,12.08850182,11.07816324,13.19098421,0.296720159,0.301662704,FALSE,,0.298514636,0.431199908,0.298942898,0.53670877,0.299340197,0.470577953
60,IDP1425,118.03,1.148581086,0.563104225,5.966271656,0.050633806,6.415474983,0.170194666,61.07786885,60.52563169,61.63010601,8.334597983,7.490613523,9.273676091,60.7325228,60.19486525,61.27018034,9.248439544,8.436020397,10.13909758,0.296720159,0.301662704,FALSE,,0.301130587,0.431199908,0.298942898,0.53670877,0.299340197,0.622646398
61,mmp68,121.93,4.093203835,0.1291731,6.278394399,0.043317559,7.504159107,0.111526034,60.66105263,60.10653479,61.21557047,10.69156386,9.708259385,11.77446267,61.4992343,60.97728015,62.02118846,11.74292617,10.81535023,12.75005545,0.296720159,0.301662704,FALSE,,0.301130587,0.431199908,0.298942898,0.53670877,0.299340197,0.622646398
62,umc2225,123.03,4.10191536,0.128611676,6.026588533,0.049129566,7.265884714,0.122487023,60.59574468,59.99021875,61.20127061,9.823887564,8.824384106,10.93660087,61.16286645,60.63519886,61.69053404,10.26700784,9.392171987,11.22333047,0.300409787,0.301662704,FALSE,,0.301130587,0.431199908,0.298942898,0.53670877,0.299340197,0.622646398
63,csu1171,125.63,4.368466624,0.112564002,4.636444866,0.098448429,6.158576714,0.187614528,59.49908257,58.95601435,60.04215078,13.34265152,12.26823688,14.51116009,62.62207358,62.09758486,63.1465623,13.50141521,12.46156206,14.62803876,0.297918797,0.301662704,FALSE,,0.301130587,0.431199908,0.298942898,0.53670877,0.299340197,0.622646398
64,mmp171b,130.13,4.112846193,0.127910677,4.78371811,0.091459498,5.917834257,0.205369067,60.86806883,60.29602407,61.44011359,7.805484102,6.996647915,8.707824491,61.04777595,60.50724742,61.58830447,7.9173732,7.152880704,8.763573864,0.297918797,0.301662704,FALSE,,0.301130587,0.431199908,0.298942898,0.53670877,0.299340197,0.622646398
65,gpm403b,131.93,0.216763119,0.897285164,0.726103053,0.695550593,0.764179636,0.943184745,61.86431227,61.31236349,62.41626105,10.04229661,9.129749679,11.04605546,61.69187146,61.13966417,62.24407874,9.970144788,9.056842614,10.97554538,0.297918797,0.301662704,FALSE,,0.300115931,0.431199908,0.298942898,0.53670877,0.29944871,0.622646398
66,umc1568,140.13,4.474542723,0.106749388,4.61111983,0.09970296,6.195551758,0.185012568,62.0455312,61.51057839,62.580484,8.952453842,8.131743008,9.855996397,60.09841828,59.55615329,60.64068326,8.89847178,8.066505001,9.816246318,0.297918797,0.301662704,FALSE,,0.300115931,0.431199908,0.299570582,0.53670877,0.29944871,0.622646398
67,IDP3783,140.14,4.477006613,0.106617959,4.597650183,0.100376708,6.19039818,0.18537328,61.3797054,60.85160473,61.90780607,11.58574627,10.64353516,12.61136592,60.30841122,59.73724608,60.87957635,11.71886145,10.70329816,12.83078464,0.297918797,0.301662704,FALSE,,0.302217224,0.431199908,0.302692258,0.53670877,0.29944871,0.622646398
68,bnlg1429,141.83,4.458365349,0.107616352,4.575883836,0.101475091,6.162802704,0.187315493,61.73182553,61.22050479,62.24314626,11.5881136,10.66065061,12.59626468,60.29690346,59.73151941,60.86228751,12.04936145,11.02794493,13.16538233,0.296821765,0.301662704,FALSE,,0.307503465,0.431199908,0.302692258,0.53670877,0.307008751,0.622646398
69,IDP209,144.3,4.473083652,0.106827294,4.592370777,0.100642023,6.185929325,0.185686577,61.20272572,60.65680424,61.74864721,10.75127635,9.828677505,11.76047774,60.44972578,59.88939432,61.01005724,10.66031456,9.714166359,11.69861645,0.296821765,0.301662704,FALSE,,0.311232511,0.431199908,0.302692258,0.53670877,0.313367826,0.622646398
70,php20640,145.23,4.409421822,0.110282402,4.532312987,0.103710025,6.067139333,0.19419006,60.2641844,59.70213779,60.826231,13.42924228,12.34741158,14.60585864,60.63127413,60.07371403,61.18883424,12.76547107,11.69435119,13.93469795,0.303997541,0.301662704,FALSE,,0.311232511,0.431199908,0.313865324,0.53670877,0.323329453,0.622646398
71,lim504,149.93,4.133385476,0.126603802,4.868068514,0.087682385,6.100815591,0.191744748,60.56949153,60.04842633,61.09055673,11.80509167,10.8471093,12.84768,61.52973978,60.95944122,62.10003834,12.32324359,11.27805918,13.46528955,0.306775763,0.301662704,FALSE,,0.301991663,0.431199908,0.326955095,0.53670877,0.323329453,0.622646398
72,gpm283b,151.4,0.748866975,0.687678747,0.692863173,0.7072072,1.228960979,0.873307752,61.96050269,61.4479282,62.47307719,6.47188752,5.77989549,7.246727582,61.98454746,61.38228956,62.58680536,6.758898015,5.962363843,7.661844124,0.306775763,0.301662704,FALSE,,0.311232511,0.431199908,0.347332226,0.53670877,0.323329453,0.622646398
73,IDP343,152.71,4.056224115,0.131583709,4.620093501,0.099256611,5.758030354,0.217962146,60.56810036,60.01740665,61.11879407,10.51219026,9.585323392,11.52868188,60.86727273,60.30224912,61.43229633,10.69179008,9.742569113,11.73349389,0.306775763,0.301662704,FALSE,,0.330117398,0.431199908,0.326955095,0.53670877,0.323329453,0.622646398
74,IDP622,152.96,4.080006826,0.130028267,4.533224053,0.103662793,5.68815587,0.223678803,60.68881119,60.13675532,61.24086706,6.808156377,6.083982836,7.618527945,60.99288256,60.43854667,61.54721846,6.784419667,6.056734614,7.599532281,0.336231126,0.301662704,FALSE,,0.36398837,0.431199908,0.326955095,0.53670877,0.323329453,0.622646398
75,IDP3970,156.2,4.135359219,0.126478922,4.492429061,0.105798966,5.706009475,0.222205768,61.39285714,60.82441512,61.96129916,12.17796363,11.15378025,13.2961915,60.3890785,59.85980087,60.91835613,11.62062423,10.66431243,12.66269235,0.403799103,0.301662704,FALSE,,0.36398837,0.431199908,0.326955095,0.53670877,0.313367826,0.622646398
76,umc1976,158.93,4.159439606,0.124965222,4.497174113,0.105548253,5.739050971,0.219502074,60.91440501,60.31362477,61.51518525,10.08378639,9.10740843,11.16483891,60.30706076,59.77193125,60.84219026,10.12311789,9.248880213,11.07999169,0.403799103,0.301662704,FALSE,,0.36398837,0.431199908,0.326955095,0.53670877,0.315260092,0.622646398
